pattern_id,output_type,pattern_name,skeleton,notes,risk_baseline
PAT-001,SPO,Standard SPO Markdown,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics""",Canonical full spec skeleton,low
PAT-002,SPO_compact,Compact SPO Markdown,"""# Goal\n- \n# Inputs Required\n- \n# Directives\n- \n# Constraints\n- \n# Output Format\n- \n# Tone Policy\n- \n# System Metrics\n- """,Same headings; compressed bullets,low
PAT-003,SPO_mirror,Mirror-Only SPO,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics""",No new facts; reformat only,low
PAT-004,routing_decision,Domain Routing Output,"""domain_type: <value>\nconfidence: <0-1>\nreason: <1-2 lines>\nselected_template_id: <id>""",Used before compilation,low
PAT-005,validation_report,Validation Report,"""checks:\n- rule_id: <id>\n  ok: <true/false>\n  detail: <short>\nsummary: <1-2 lines>""",Text QA output (no execution claims),medium
PAT-006,schema_lint,Schema Lint,"""headings_ok: <true/false>\nmissing_headings: <list>\nextra_headings: <list>""",Prevents heading drift,medium
PAT-007,assumption_plan,Assumption Plan,"""missing_inputs:\n- type: <type>\n  action: <ask/default>\n  default: <value>\nnotes: <short>""",Drive missing-input handling,low
PAT-008,change_log,Change Log,"""changes:\n- section: <heading>\n  before: <short>\n  after: <short>""",Diff summary between SPO versions,low
PAT-009,SPO_strict,Strict SPO Markdown,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics\n\n## Open Questions\n- """,Adds explicit questions block (optional),medium
PAT-010,tone_adjustment,Tone Adjustment Output,"""tone_id: <id>\nchanges:\n- <bullet>\nrewritten_sections:\n- Tone Policy""",Tracks tone edits only,low
PAT-011,canonical_row_doc,Canonical Row Doc,"""[ROW]\ndataset=<dataset_name>\nprimary_id=<row_primary_key>\ndomain_type=<optional>\ntitle=<optional short name>\nfields=<key=value pairs","concise>\ndescription=<human-readable summary>""",For embedding/upsert canonicalization; one row -> one doc,low
PAT-012,vector_metadata,Vector Metadata Map,"""dataset_name: <name>\nprimary_id: <id>\ndomain_type: <optional>\nseverity: <optional>\nversion: <semver>\nrisk_baseline: <optional>""",Attach as vector metadata alongside canonical doc,low
PAT-013,stable_vector_id,Stable Vector ID,"""vector_id: gardenier:<dataset_name>:<primary_id>""",Single-line ID convention for deterministic upserts,low
PAT-014,knowledge_map_csv,Knowledge Map CSV,"""source_id",target_id,relation,weight,notes\n<id>,<id>,<relation>,<0-1>,"<short>""",Lightweight linking layer between rows/datasets,low
PAT-015,knowledge_map_json,Knowledge Map JSON,"""{\n  """"nodes"""": [{""""id"""": """"<id>""""","""""type"""": """"<dataset>""""}]","\n  """"edges"""": [{""""source"""": """"<id>""""","""""target"""": """"<id>""""","""""relation"""": """"<rel>""""","""""weight"""": <0-1>}]\n}""",Same as CSV but JSON graph form,medium
PAT-016,dataset_index,Dataset Index,"""datasets:\n- name: <dataset_name>\n  primary_key: <col>\n  row_count: <n>\n  notes: <short>""",Inventory of pack contents; useful for loaders,low
PAT-017,dataset_schema_card,Dataset Schema Card,"""dataset: <name>\nprimary_key: <col>\ncolumns:\n- <col>: <type/notes>\nconstraints:\n- <rule>\nexamples:\n- <row snippet>""",Human-readable schema contract summary,low
PAT-018,dataset_expansion_plan,Dataset Expansion Plan,"""goal: <what to expand>\nstrategy:\n- diversity: <tactics>\n- safety: <constraints>\ncoverage_targets:\n- <dimension>: <target>\nstop_conditions:\n- <condition>""",Planning artifact before generating rows,medium
PAT-019,coverage_matrix,Coverage Matrix,"""dimensions:\n- name: <dim>\n  values: [<v1>","<v2>]\nfilled:\n- <dim_value_combo>\ngaps:\n- <dim_value_combo>""",Helps ensure diversity/coverage in synthetic expansion,medium
PAT-020,qa_summary,QA Summary,"""status: <ok/warn/fail>\nkey_checks:\n- <check>: <result>\nrisks:\n- <risk>\nnext_actions:\n- <action>""",Compact operator-friendly QA snapshot,low
PAT-021,quality_gate_report,Quality Gate Report,"""pre:\n  ok: <true/false>\n  stats:\n    rows: <n>\n    cols: <n>\n    null_ratio: <0-1>\npost:\n  ok: <true/false>\n  stats:\n    rows: <n>\n    cols: <n>\n    exact_duplicate_count: <n>""",Pairs well with validation-only runs,medium
PAT-022,error_report,Error Report,"""error_code: <code>\nmessage: <short>\ncontext:\n- <key>: <value>\nsuggested_fix:\n- <step>""",For pipeline failures; no tool-execution claims,medium
PAT-023,refusal_notice,Refusal Notice,"""refusal: true\nreason: <policy-safe explanation>\nallowed_alternatives:\n- <safe alternative>""",Safety-compliant refusal output format,medium
PAT-024,warn_only_report,Warnings-Only Report,"""warnings:\n- code: <code>\n  message: <short>\n  severity: <low/med/high>\nsummary: <1 line>""",Non-blocking issues to surface without failing run,low
PAT-025,validation_report_compact,Validation Report Compact,"""failed_rules:\n- <rule_id>: <failure_message>\npassed_count: <n>\nfailed_count: <n>""",Operator-focused compact validator output,medium
PAT-026,schema_drift_report,Schema Drift Report,"""expected_columns: [<...>]\nactual_columns: [<...>]\nmissing: [<...>]\nextra: [<...>]\naction: <block/allow_with_warning>""",Used when schema changes between versions,high
PAT-027,dedup_report,Deduplication Report,"""duplicate_groups:\n- key: <primary_id>\n  count: <n>\nresolution: <keep_first/merge/block>\nnotes: <short>""",Controls exact duplicates and dedup policies,medium
PAT-028,row_mutation_log,Row Mutation Log,"""mutations:\n- primary_id: <id>\n  field: <col>\n  before: <value>\n  after: <value>\n  reason: <short>""",Track synthetic edits during polishing,low
PAT-029,normalization_spec,Normalization Spec,"""normalizations:\n- field: <col>\n  rule: <e.g.","trim/uppercase/map>\n  examples:\n  - before: <v>\n    after: <v>""",For consistent formatting across datasets,medium
PAT-030,field_banlist,Banlist Spec,"""banlist:\n- term: <string>\n  reason: <short>\n  severity: <low/med/high>""",Supports “no lore words” / disallowed phrasing rules,medium
PAT-031,style_guide,Output Style Guide,"""do:\n- <rule>\ndont:\n- <rule>\nexamples:\n- good: <snippet>\n- bad: <snippet>""",Enforces consistent house style across generated artifacts,low
PAT-032,router_explain,Router Explanation,"""input_summary: <1 line>\ncandidates:\n- domain_type: <type>\n  score: <0-1>\n  reason: <short>\nfinal:\n  domain_type: <type>\n  template_id: <id>""",More verbose routing decision for debugging,low
PAT-033,template_pick_report,Template Pick Report,"""domain_type: <type>\nselected_template_id: <id>\nalternates:\n- <id>\nconstraints_applied:\n- <constraint>""",Bridges routing -> compilation,low
PAT-034,compilation_trace,Compilation Trace,"""steps:\n- step: <name>\n  input: <short>\n  output: <short>\nnotes: <short>""",Non-sensitive trace of compile pipeline (text-only),medium
PAT-035,policy_alignment_card,Policy Alignment Card,"""policy_set: <name>\nalignment:\n- rule_id: <id>\n  status: <ok/warn/fail>\n  note: <short>""",Shows which guardrails/constraints were applied,medium
PAT-036,assumption_diff,Assumption Diff,"""assumptions_added:\n- <missing_input_type>: <default_value>\nassumptions_asked:\n- <missing_input_type>\nimpact:\n- <1 line>""",Useful when /assume modifies an SPO,low
PAT-037,open_questions_list,Open Questions List,"""open_questions:\n- question: <text>\n  why_needed: <short>\n  blocking: <true/false>""",Extracts unknowns without rewriting full SPO,low
PAT-038,implementation_checklist,Implementation Checklist,"""checklist:\n- item: <task>\n  owner: <role>\n  done: <true/false>\nnotes: <short>""",For workflow notes / rollout plans,low
PAT-039,runbook,Runbook,"""# Purpose\n\n# Prereqs\n\n# Steps\n1. \n\n# Verification\n\n# Rollback\n\n# Notes""",Operational doc skeleton for builders,medium
PAT-040,workflow_notes,Workflow Notes,"""# Overview\n\n# Components\n- \n\n# Setup Steps\n1. \n\n# Data Ingestion\n\n# Vector DB Upsert\n\n# Validation\n\n# Troubleshooting""",Step-by-step integration notes format,medium
PAT-041,tool_registry,Tool Registry,"""tools:\n- name: <tool>\n  purpose: <short>\n  inputs: <schema>\n  outputs: <schema>\n  safety: <notes>""",For agent packages describing tool calling surface,medium
PAT-042,tool_call_guide,Tool Calling Guide,"""principles:\n- <rule>\nallowed_tools:\n- <tool>\ncall_patterns:\n- when: <trigger>\n  do: <call>\nnever:\n- <forbidden>""",Keeps tool usage consistent + safe,medium
PAT-043,dataset_loader_config,Dataset Loader Config,"""datasets:\n- path: <file>\n  dataset_name: <name>\n  primary_key: <col>\n  version: <semver>\n  upsert: <true/false>""",Used by ingestion scripts/pipelines,low
PAT-044,batch_report_json,Batch Report JSON,"""{\n  """"report_version"""": """"<semver>""""","\n  """"meta"""": {""""batch_id"""": """"<id>""""","""""created_at_utc"""": """"<iso>""""","""""dataset_type"""": """"<type>""""","""""engine"""": """"<engine>""""","""""ruleset_version"""": """"<semver>""""}","\n  """"status"""": {""""ok"""": <true/false>","""""mode"""": """"<mode>""""","""""exit_code"""": <int>","""""summary"""": """"<short>""""}","\n  """"stages"""": [{""""stage"""": """"<name>""""","""""modules"""": [""""<m>""""]","""""decisions"""": [{""""type"""": """"<t>""""","""""detail"""": """"<d>""""","""""severity"""": """"<info/warn/error>""""}]","""""timing_ms"""": <int>}]","\n  """"quality_gates"""": {""""pre"""": {""""ok"""": <true/false>","""""stats"""": {}","""""failures"""": []}","""""post"""": {""""ok"""": <true/false>","""""stats"""": {}","""""failures"""": []}}","\n  """"safety"""": {""""ok"""": <true/false>","""""flags"""": []}","\n  """"outputs"""": {""""rows_out"""": <int>","""""cols_out"""": <int>","""""artifacts"""": [{""""type"""": """"csv""""","""""path"""": """"<path>""""","""""sha256"""": """"<hash>""""}]}\n}""",Structured batch artifact for multi-stage pipelines,medium
PAT-045,artifact_manifest,Artifact Manifest,"""artifacts:\n- type: <csv/json/log>\n  path: <path>\n  sha256: <hash>\n  purpose: <short>""",Summarizes produced files for packaging/releases,low
PAT-046,release_notes,Release Notes,"""version: <semver>\ndate: <yyyy-mm-dd>\nhighlights:\n- <bullet>\nchanges:\n- <bullet>\ncompatibility:\n- <note>""",For dataset/agent pack version updates,low
PAT-047,compat_matrix,Compatibility Matrix,"""components:\n- name: <component>\n  version: <semver>\n  compatible_with:\n  - <component>@<range>""",Tracks compatibility across standards/expansions,medium
PAT-048,benchmark_report,Benchmark Report,"""benchmarks:\n- name: <test>\n  metric: <metric>\n  before: <value>\n  after: <value>\nnotes: <short>""",For evals/regression checks (no performance claims without data),medium
PAT-049,lint_fix_suggestions,Lint Fix Suggestions,"""issues:\n- code: <code>\n  finding: <short>\n  suggested_fix: <short>""",Paired with schema_lint to suggest repairs,low
PAT-050,final_output_envelope,Final Output Envelope,"""output_type: <type>\nversion: <semver>\npayload:\n<the actual output here>\nmeta:\n- generated_at: <iso>\n- mode: <mode>""",Wraps any output with minimal metadata for downstream routing,low
PAT-051,SPO_onepager,SPO One-Pager Markdown,"""# Goal\n- \n\n# Plan\n- \n\n# Key Constraints\n- \n\n# Deliverable\n- \n\n# Open Questions\n- """,One-page variant for fast stakeholder review,low
PAT-052,SPO_checklist,SPO Checklist,"""# Goal\n- [ ] \n\n# Inputs Required\n- [ ] \n\n# Directives\n- [ ] \n\n# Constraints\n- [ ] \n\n# Output Format\n- [ ] \n\n# Tone Policy\n- [ ] \n\n# System Metrics\n- [ ] """,Checklist form to support completion tracking,low
PAT-053,SPO_json,SPO JSON,"""{\n  """"goal"""": """"<text>""""","\n  """"inputs_required"""": [""""<item>""""]","\n  """"directives"""": [""""<item>""""]","\n  """"constraints"""": [""""<item>""""]","\n  """"output_format"""": """"<text>""""","\n  """"tone_policy"""": """"<text>""""","\n  """"system_metrics"""": {""""risk"""": """"<low/med/high>""""","""""notes"""": """"<text>""""}\n}""",Machine-readable SPO for programmatic consumption,medium
PAT-054,SPO_yaml,SPO YAML,"""goal: <text>\ninputs_required:\n- <item>\ndirectives:\n- <item>\nconstraints:\n- <item>\noutput_format: <text>\ntone_policy: <text>\nsystem_metrics:\n  risk: <low/med/high>\n  notes: <text>""",YAML SPO for config-friendly pipelines,medium
PAT-055,SPO_table,SPO Table,"""| Section | Content |\n|---|---|\n| Goal | <text> |\n| Inputs Required | <bullets> |\n| Directives | <bullets> |\n| Constraints | <bullets> |\n| Output Format | <text> |\n| Tone Policy | <text> |\n| System Metrics | <text> |""",Tabular SPO for quick scanning,low
PAT-056,routing_decision_compact,Compact Domain Routing,"""domain_type: <value>\ntemplate_id: <id>\nconfidence: <0-1>""",Ultra-compact router output for chaining,low
PAT-057,routing_decision_yaml,Domain Routing YAML,"""domain_type: <value>\nselected_template_id: <id>\nconfidence: <0-1>\nreason: <short>""",YAML router format for parsers,low
PAT-058,routing_decision_verbose,Verbose Domain Routing,"""input: <1 line>\nfinal:\n  domain_type: <value>\n  selected_template_id: <id>\n  confidence: <0-1>\nwhy:\n- <bullet>\nalternatives:\n- domain_type: <value>\n  template_id: <id>\n  confidence: <0-1>""",Debug-friendly router output,low
PAT-059,validation_report_json,Validation Report JSON,"""{\n  """"checks"""": [{""""rule_id"""": """"<id>""""","""""ok"""": true","""""detail"""": """"<short>""""}]","\n  """"summary"""": """"<1-2 lines>""""","\n  """"status"""": """"<ok/warn/fail>""""\n}""",Structured validator output for CI pipelines,medium
PAT-060,validation_table,Validation Table,"""| rule_id | ok | detail |\n|---|---:|---|\n| <id> | <true/false> | <short> |\n\nsummary: <1-2 lines>""",Readable validation results for humans,medium
PAT-061,validation_fail_fast,Fail-Fast Validation,"""status: fail\nfirst_failure:\n  rule_id: <id>\n  message: <failure_message>\nrecommendation: <short>""",Stops on first failure; useful for gating,high
PAT-062,schema_lint_markdown,Schema Lint Markdown,"""# Schema Lint\nheadings_ok: <true/false>\n\n## Missing Headings\n- <heading>\n\n## Extra Headings\n- <heading>\n\n## Notes\n- <short>""",Human-readable lint report,medium
PAT-063,schema_lint_json,Schema Lint JSON,"""{\n  """"headings_ok"""": false","\n  """"missing_headings"""": [""""<heading>""""]","\n  """"extra_headings"""": [""""<heading>""""]","\n  """"notes"""": """"<short>""""\n}""",Machine-readable lint results,medium
PAT-064,assumption_plan_compact,Compact Assumption Plan,"""missing_inputs:\n- <type>: <ask/default> | <default>\nnotes: <short>""",Tight assumption plan for quick review,low
PAT-065,assumption_plan_json,Assumption Plan JSON,"""{\n  """"missing_inputs"""": [{""""type"""": """"<type>""""","""""action"""": """"<ask/default>""""","""""default"""": """"<value>""""}]","\n  """"notes"""": """"<short>""""\n}""",Structured assumption plan,low
PAT-066,assumption_questions_only,Assumption Questions Only,"""open_questions:\n- <question>\n- <question>\nnotes: <short>""",When you want only asks,no defaults,low
PAT-067,tone_adjustment_compact,Compact Tone Adjustment,"""tone_id: <id>\nchanges:\n- <bullet>\nrewritten: Tone Policy""",Minimal tone-change log,low
PAT-068,tone_policy_card,Tone Policy Card,"""tone_name: <name>\nprinciples:\n- <rule>\nlexicon:\n  prefer: [<word>]\n  avoid: [<word>]\nformatting:\n- <rule>""",Reusable tone spec artifact,low
PAT-069,tone_matrix,Tone Matrix,"""dimensions:\n- clarity: <1-5>\n- warmth: <1-5>\n- directness: <1-5>\n- humor: <1-5>\nnotes: <short>""",Quantifies tone targets,low
PAT-070,change_log_unified,Unified Change Log,"""diff:\n- section: <heading>\n  change_type: <add/remove/modify>\n  summary: <short>\nnotes: <short>""",More structured than before/after snippets,low
PAT-071,diff_unified_text,Unified Diff Text,"""--- before\n+++ after\n@@ <section>\n- <line>\n+ <line>""",Classic diff view for reviewers,medium
PAT-072,system_metrics_json,System Metrics JSON,"""{\n  """"risk_baseline"""": """"<low/med/high>""""","\n  """"uncertainty"""": """"<low/med/high>""""","\n  """"assumptions"""": [""""<item>""""]","\n  """"open_questions"""": [""""<item>""""]","\n  """"notes"""": """"<short>""""\n}""",Structured system metrics capture,medium
PAT-073,metrics_card,System Metrics Card,"""risk_baseline: <low/med/high>\nconfidence: <0-1>\nassumptions:\n- <item>\nopen_questions:\n- <item>\nnotes: <short>""",Compact metrics snapshot,low
PAT-074,policy_alignment_compact,Compact Policy Alignment,"""policy_set: <name>\nstatus: <ok/warn/fail>\nflags:\n- <rule_id>: <note>""",Minimal policy alignment output,medium
PAT-075,guardrail_summary,Guardrail Summary,"""guardrails:\n- name: <guardrail>\n  intent: <short>\n  must:\n  - <rule>\n  must_not:\n  - <rule>""",Summarizes safety/quality boundaries,medium
PAT-076,sanitization_report,Sanitization Report,"""sanitized_fields:\n- field: <col>\n  action: <trim/remove/replace>\n  reason: <short>\nremaining_risks:\n- <risk>""",Tracks text cleaning operations conceptually,medium
PAT-077,duplicate_scan_report,Duplicate Scan Report,"""exact_duplicates: <n>\nkey_collisions:\n- key: <primary_id>\n  count: <n>\naction: <block/allow_with_warning>""",Detects duplicates before upsert,medium
PAT-078,null_scan_report,Null Scan Report,"""null_ratio_by_field:\n- field: <col>\n  null_ratio: <0-1>\nworst_fields:\n- <col>\nnotes: <short>""",Highlights missing data hotspots,low
PAT-079,type_inference_report,Type Inference Report,"""field_types:\n- field: <col>\n  inferred: <type>\n  confidence: <0-1>\n  examples: [<v1>","<v2>]\nnotes: <short>""",Helps stabilize schema typing,medium
PAT-080,value_distribution_report,Value Distribution Report,"""field: <col>\nvalue_counts:\n- value: <v>\n  count: <n>\nnotes: <short>""",Quick distribution summary to spot anomalies,low
PAT-081,coverage_gap_report,Coverage Gap Report,"""dimensions:\n- name: <dim>\n  covered: [<v>]\n  missing: [<v>]\nrecommendations:\n- <action>""",Coverage analysis for synthetic expansion,medium
PAT-082,link_suggestions,Link Suggestions,"""suggested_edges:\n- source_id: <id>\n  target_id: <id>\n  relation: <rel>\n  weight: <0-1>\n  rationale: <short>""",Proposes knowledge_map edges for review,low
PAT-083,knowledge_map_enrichment_plan,Knowledge Map Enrichment Plan,"""goal: <short>\nedge_rules:\n- if: <condition>\n  then_relation: <rel>\nconstraints:\n- <rule>\noutput: <csv/json>""",Plan for generating internal links safely,medium
PAT-084,upsert_plan,Vector Upsert Plan,"""target_index: <name>\nnamespace: <name>\nvector_id_format: gardenier:<dataset>:<primary_id>\nrecords:\n- primary_id: <id>\n  action: <upsert/skip>\nnotes: <short>""",Planning artifact; avoids execution claims,medium
PAT-085,embedding_payload,Embedding Payload,"""items:\n- id: <vector_id>\n  text: <canonical_row_doc>\n  metadata:\n    dataset_name: <name>\n    primary_id: <id>\n    domain_type: <optional>\n    version: <semver>""",Standard payload envelope for embedders,medium
PAT-086,batch_job_request,Batch Job Request,"""job:\n  name: <string>\n  input_artifacts:\n  - <path>\n  output_artifacts:\n  - <path>\n  mode: <mode>\n  ruleset_version: <semver>\nnotes: <short>""",Queues a batch operation in orchestration layers,medium
PAT-087,batch_job_status,Batch Job Status,"""job_id: <id>\nstate: <queued/running/succeeded/failed>\nprogress: <0-100>\nlast_update: <iso>\nmessage: <short>""",Status format for job trackers,low
PAT-088,rollback_plan,Rollback Plan,"""trigger: <condition>\nrollback_steps:\n1. <step>\n2. <step>\nverification:\n- <check>\nnotes: <short>""",Operational safety plan for changes,medium
PAT-089,migration_plan,Migration Plan,"""from_version: <semver>\nto_version: <semver>\nsteps:\n1. <step>\ncompat_notes:\n- <note>\nvalidation:\n- <check>""",Dataset/schema migration planning,medium
PAT-090,schema_version_bump,Schema Version Bump Notice,"""dataset: <name>\nchange: <breaking/non-breaking>\nold_schema: <semver>\nnew_schema: <semver>\nwhat_changed:\n- <bullet>\nmigration_required: <true/false>""",Communicates schema evolution explicitly,high
PAT-091,deprecation_notice,Deprecation Notice,"""deprecated: <thing>\nreplacement: <thing>\neffective_date: <yyyy-mm-dd>\nreason: <short>\naction_required:\n- <step>""",Graceful deprecation messaging format,medium
PAT-092,compat_warning,Compatibility Warning,"""component: <name>\nversion: <semver>\nissue: <short>\nimpact: <short>\nworkaround:\n- <step>""",Flags known incompatibilities,medium
PAT-093,test_case_catalog,Test Case Catalog,"""test_cases:\n- id: <id>\n  intent: <short>\n  input: <short>\n  expected: <short>\nnotes: <short>""",Catalog of evaluation cases,medium
PAT-094,eval_prompt_template,Eval Prompt Template,"""task: <short>\ninput:\n<content>\ncriteria:\n- <criterion>\noutput:\n- decision: <pass/fail>\n- rationale: <short>""",Standard eval prompt wrapper,medium
PAT-095,unit_test_spec,Unit Test Spec,"""suite: <name>\ntests:\n- name: <test>\n  arrange: <short>\n  act: <short>\n  assert: <short>""",Spec format for test authoring,medium
PAT-096,api_contract,API Contract,"""endpoint: <path>\nmethod: <GET/POST>\nrequest_schema:\n- <field>: <type>\nresponse_schema:\n- <field>: <type>\nerrors:\n- <code>: <meaning>""",Describes interfaces without implementation details,medium
PAT-097,cli_help,CLI Help Template,"""usage: <cmd> [options]\noptions:\n  --input <path>   <desc>\n  --output <path>  <desc>\n  --mode <name>    <desc>\nexamples:\n- <cmd> ...""",For tooling wrappers around the pipeline,low
PAT-098,config_template,Config Template,"""version: <semver>\nproject: <name>\ninputs:\n- path: <path>\noutputs:\n- path: <path>\nsettings:\n  strict: <true/false>\n  risk_baseline: <low/med/high>""",Generic config template for pipelines,low
PAT-099,operator_handbook,Operator Handbook,"""# Purpose\n\n# Quick Start\n1. \n\n# Common Tasks\n- \n\n# Failure Modes\n- \n\n# Escalation\n- """,Human-friendly operator guide skeleton,low
PAT-100,final_envelope_json,Final Output Envelope JSON,"""{\n  """"output_type"""": """"<type>""""","\n  """"version"""": """"<semver>""""","\n  """"payload"""": <any>","\n  """"meta"""": {""""generated_at"""": """"<iso>""""","""""mode"""": """"<mode>""""}\n}""",JSON wrapper for downstream routers/parsers,low